Course,Duration,FeesWithCautionMoney,Link,Eligibility Criterion
BCA (AI & ML),3Years,105000,https://srmu.ac.in/program/bca-artificial-intelligence-machine-learning,Candidate must have passed 10+2 or equivalent system from any recognized Board with minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
B.Sc.(H) MLT,4Years,105000,https://srmu.ac.in/program/b-sc-hons-medical-lab-technology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) OTT,4Years,105000,https://srmu.ac.in/program/b-sc-hons-operation-theatre-technology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) RMIT,4Years,105000,https://srmu.ac.in/program/b-sc-hons-radiology-and-medical-imaging-technology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) Opto.,4Years,105000,https://srmu.ac.in/program/b-sc-hons-optometry,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) Agri.,4Years,67000,https://srmu.ac.in/program/b-sc-hons-agriculture,"Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics, Chemistry and Mathematics/Biology or 10+2 with Agriculture with minimum aggregate marks of 45% or equivalent grade for GEN/ OBC and 40% marks or equivalent grade for SC/ ST Category."
B.Sc.(H) Agri.,4Years,67000,https://srmu.ac.in/program/b-sc-hons-agriculture,"Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics, Chemistry and Mathematics/Biology or 10+2 with Agriculture with minimum aggregate marks of 45% or equivalent grade for GEN/ OBC and 40% marks or equivalent grade for SC/ ST Category."
B.Sc.(H) Food Tech.,3Years,67000,https://srmu.ac.in/program/b-sc-hons-food-technology,Candidate must have passed 10+2 or equivalent system from any recognized Board with Physics and Mathematics/Biology as compulsory subject along with Chemistry/Biotechnology/Computer Science with minimum aggregate marks of 45% or equivalent grade for GEN /OBC and 40% marks or equivalent grade for SC/ ST Category.
B.Sc.(H) Biotech,3Years,67000,https://srmu.ac.in/program/b-sc-hons-biotechnology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry/Biotechnology/Computer Science with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) Microbiology,3Years,62000,https://srmu.ac.in/program/b-sc-hons-microbiology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/ Biology as compulsory subject alongwith Chemistry/Biotechnology/Computer Science with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Tech. Biotech,4Years,"137,000",https://srmu.ac.in/program/b-tech-biotechnology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/Biology as compulsory subject alongwith Chemistry/ Biotechnology/ Computer Science/Technical Vocational Subject. Candidate must obtained minimum marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. Biotech + MBA,5Years,137000,https://srmu.ac.in/program/b-tech-biotechnology-mba,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/Biology as compulsory subject alongwith Chemistry/ Biotechnology/ Computer Science/Technical Vocational Subject. Candidate must obtained minimum marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. + M.Tech. Biotech,5Years,137000,https://srmu.ac.in/program/b-tech-m-tech-biotechnology,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/Biology as compulsory subject alongwith Chemistry/ Biotechnology/ Computer Science/Technical Vocational Subject. Candidate must obtained minimum marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Sc.(H) Nutri. & Diet.,3Years,65000,https://srmu.ac.in/program/b-sc-hons-nutrition-dietetics,Candidate must have passed 10+2 examination/ equivalent with Biology or Life Sciences as one of the subjects with minimum aggregate marks of 50% or equivalent grade for GEN/OBC and 45% marks or equivalent grade for SC/ST Category.
B.Tech. Civil Engg.,4Years,137000,https://srmu.ac.in/program/b-tech-civil-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. Mech. Engg.,4Years,137000,https://srmu.ac.in/program/b-tech-mechanical-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Mech. Engg. + MBA,5Years,137000,https://srmu.ac.in/program/b-tech-me-mba,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjectsalongwith one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together
B.Tech. Elect. & Comm. Engg. + MBA,5Years,137000,https://srmu.ac.in/program/b-tech-ece-mba,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects alongwith one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. Elec. & Comm. Engg.,4Years,137000,https://srmu.ac.in/program/b-tech-electronics-communication-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Mech. Engg. (EV Engg.),4Years,151375,https://srmu.ac.in/program/b-tech-me-ev-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Elect. Engg. (EV Engg.),4Years,151375,https://srmu.ac.in/program/b-tech-ee-ev-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Elec. & Comm. Engg. (EV Engg.),4Years,151375,https://srmu.ac.in/program/b-tech-ece-ev-engineering,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Civil Engg. (Ad. Const. Prac.),4Years,151375,https://srmu.ac.in/program/b-tech-ce-advanced-practices-in-construction,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject with minimum aggregate marks of 45%.
B.Tech. Civil Engg. + MBA,5Years,137000,https://srmu.ac.in/program/b-tech-ce-mba,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. Elect. Engg. + MBA,5Years,137000,https://srmu.ac.in/program/b-tech-ee-mba,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects alongwith one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. + M.Tech. Elect. Engg.,5Years,137000,https://srmu.ac.in/program/b-tech-m-tech-ee,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics/Biology as compulsory subject alongwith Chemistry/ Biotechnology/ Computer Science/Technical Vocational Subject. Candidate must obtained minimum marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Tech. + M.Tech. Elect. & Comm. Engg.,5Years,137000,https://srmu.ac.in/program/b-tech-m-tech-ece,Candidate must have passed 3 or 4 year Diploma in technical stream from institutions recognized by AICTE or a State Board of Technical Education or B.Sc. degree in Biology/ Microbiology/ Botony/ Zoology/ Chemistry/ Physics/ Maths/ Physiology/ Biotechnology/ Biochemistry/ Agriculture with minimum aggregate marks of 45% or 5.0 CGPA for GEN/OBC and 40% marks or 4.5 CGPA for SC/ST Category.
B.Tech. + M.Tech. Mech. Engg.,5Years,137000,https://srmu.ac.in/program/b-tech-m-tech-me,Candidate must have passed 3 or 4 year Diploma in technical stream from institutions recognized by AICTE or a State Board of Technical Education or B.Sc. degree in Biology/ Microbiology/ Botony/ Zoology/ Chemistry/ Physics/ Maths/ Physiology/ Biotechnology/ Biochemistry/ Agriculture with minimum aggregate marks of 45% or 5.0 CGPA for GEN/OBC and 40% marks or 4.5 CGPA for SC/ST Category.
B.Tech. + M.Tech. Civil Engg.,5Years,137000,https://srmu.ac.in/program/b-tech-m-tech-ce,Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Computer Science/Technical Vocational Subject. Candidate must have obtained minimum 45% marks or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category in the above subjects taken together.
B.Pharma,4Years,137000,https://srmu.ac.in/program/bpharm-bachelor-of-pharmacy,"Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics, Chemistry and Mathematics/Biology with minimum aggregate marks of 45% or equivalent grade for GEN/ OBC and 40% marks or equivalent grade for SC/ ST Category."
D.Pharma,2Years,97000,https://srmu.ac.in/program/d-pharm-diploma-in-pharmacy,"Candidate must have passed 10+2 or equivalent system from any recognized Central/ State Board with Physics, Chemistry and Mathematics/Biology with minimum aggregate marks of 45% or equivalent grade for GEN/ OBC and 40% marks or equivalent grade for SC/ ST Category."
BBA,3Years,92000,https://srmu.ac.in/program/bba-bachelor-of-business-administration,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or CGPA of 5.0 for Gen/OBC and 40% marks or CGPA of 4.5 for SC/ST Category.
BBA (Business Analytics),3Years,105000,https://srmu.ac.in/program/bba-business-analytics,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or CGPA of 5.0 for Gen/OBC and 40% marks or CGPA of 4.5 for SC/ST Category.
BA + LLB (H),5Years,95000,https://srmu.ac.in/program/ba-llb-hons,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
BBA + LLB (H),5Years,85000,https://srmu.ac.in/program/bba-llb-hons,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
BA (JMC),3Years,99000,https://srmu.ac.in/program/b-a-journalism-mass-communication,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
BA(H) Eco.,3Years,47000,https://srmu.ac.in/program/b-a-hons-economics,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with Commerce or related subjects/Maths with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Com.(H),3Years,92000,https://srmu.ac.in/program/b-com-hons-with-l-t,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with Commerce or related subjects/Maths with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Com.,4Years,35000,https://srmu.ac.in/program/b-com,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with Commerce or related subjects/Maths with minimum aggregate marks of 45% or equivalent grade for GEN/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) Physics,3Years,47000,https://srmu.ac.in/program/b-sc-hons-physics,Candidate must have passed 10 + 2 or equivalent system from any recognized Central/State Board with Physics with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
B.Sc.(H) Chemistry,3Years,47000,https://srmu.ac.in/program/b-sc-hons-chemistry,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with Chemistry with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category. Students who have done 10+2 from Biology group are also eligible.
B.Sc.(H) Maths,3Years,47000,https://srmu.ac.in/program/b-sc-hons-mathematics,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with Maths with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
BA(H) English,3Years,37000,https://srmu.ac.in/program/b-a-hons-english,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board with English as compulsory subject with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
BA(H) Political Science,3Years,37000,https://srmu.ac.in/program/b-a-hons-political-science,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
BA(H) Sociology,3Years,37000,https://srmu.ac.in/program/b-a-hons-sociology,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
BA(H) App. Psych.,3Years,37000,https://srmu.ac.in/program/b-a-hons-applied-psychology,Candidate must have passed 10+2 or equivalent system from any recognized Central/State Board in any stream with minimum aggregate marks of 45% or equivalent grade for Gen/OBC and 40% marks or equivalent grade for SC/ST Category.
Dip (Civil Engg.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-civil-engineering-lateral-entry,Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.                                                                                                                                               OR                                                                                                                                                                                     Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government.
Dip (Mech.Engg.) (Prod.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-mechanical-engineering-production-lateral-entry,Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.                                                                                                                                               OR                                                                                                                                                                                     Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government.
Dip (Mech.Engg.) (Auto.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-Mech.chanical-enginElect.ring-automobile-lateral-entry,"Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.

OR 

Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government."
Dip (Elect. Engg.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-electrical-enginElect.ring-lateral-entry,"Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.

OR 

Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government."
Dip (Comp. Sc. Engg.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-computer-scienCivil-enginElect.ring-lateral-entry,"Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.

OR 

Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government."
Dip (Elec. & Comm. Engg.) Lat.,2Years,62000,https://srmu.ac.in/program/diploma-electronics-communication-enginElect.ring-lateral-entry,"Candidate must have passed 12th or equivalent system from any recognized Central/State Board with Physics/ Chemistry/ Maths/ Biology/ Computer Science/ Electronics/ IT/ Information Practices/ Biotechnology/ Technical Vocational Subjects/ Agriculture/ Eng. Graphics/ Business Studies/ Entrepreneurship.

OR 

Candidate must have passed 10th with ITI (Minimum 2 years' duration) from any institutions recognized by State Government."
